ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Review_age,Review_education,Review_gender,Review_income,Review_political,Review_religious,political_category
64CbahdRXsMpLbKfp,-2125600039_464178259129506.0,464178259129506.0,11,0,1,0,0,Low,Social Status,Social Status,High,Low,0.0,2,0,0,Desktop,0.0,0.0,POL,19.0,high,male,default,0.04,0.18,1
6vdeFHC3mT6r5wiJ4,-2125600039_464178259129506.0,464178259129506.0,4,0,0,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,3,2,0,Desktop,0.0,1.0,POL,19.0,high,male,default,0.04,0.18,1
Pj4D48tDTuZLNJBjv,-2125600039_464178259129506.0,464178259129506.0,2,0,1,0,0,Pets,Species,Species,Hoomans,Pets,0.0,1,0,0,Desktop,0.0,0.0,POL,19.0,high,male,default,0.04,0.18,1
TFNL6L8XoLccS9Tdu,-2125600039_464178259129506.0,464178259129506.0,5,0,0,0,0,Less,Utilitarian,Utilitarian,More,Less,0.0,3,2,0,Desktop,0.0,1.0,POL,19.0,high,male,default,0.04,0.18,1
TbL3w9QFYyfc9bCXr,-2125600039_464178259129506.0,464178259129506.0,3,0,0,0,1,Old,Age,Age,Young,Old,0.0,5,0,1,Desktop,0.0,1.0,POL,19.0,high,male,default,0.04,0.18,1
bQKyKERD534YvHE4o,-2125600039_464178259129506.0,464178259129506.0,1,0,0,0,2,Hoomans,Species,Species,Hoomans,Pets,1.0,4,0,0,Desktop,0.0,1.0,POL,19.0,high,male,default,0.04,0.18,1
neBCjGgm8CiJPwYSS,-2125600039_464178259129506.0,464178259129506.0,12,0,0,0,2,Female,Gender,Gender,Male,Female,0.0,4,0,0,Desktop,0.0,1.0,POL,19.0,high,male,default,0.04,0.18,1
tzc7C8BfpwpGWGMnB,-2125600039_464178259129506.0,464178259129506.0,9,0,1,0,2,Male,Gender,Gender,Male,Female,1.0,5,0,0,Desktop,0.0,0.0,POL,19.0,high,male,default,0.04,0.18,1
utMZhXojSbmkExvYb,-2125600039_464178259129506.0,464178259129506.0,13,0,0,0,1,Rand,Random,Random,,,,3,2,1,Desktop,0.0,0.0,POL,19.0,high,male,default,0.04,0.18,1
vqNJDPskXNEZac8rc,-2125600039_464178259129506.0,464178259129506.0,7,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,0.0,3,0,0,Desktop,0.0,0.0,POL,19.0,high,male,default,0.04,0.18,1
2MmdyXkyAgy2RcQ25,-2117356622_6120010244753895.0,6120010244753900.0,1,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,0.0,5,0,0,Desktop,1.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
7sQtgaqP3zWYrBPNp,-2117356622_6120010244753895.0,6120010244753900.0,12,0,1,0,0,Young,Age,Age,Young,Old,1.0,5,0,1,Desktop,0.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
ERziNW3uwBRmsFfr3,-2117356622_6120010244753895.0,6120010244753900.0,5,0,0,0,1,Female,Gender,Gender,Male,Female,0.0,4,0,1,Desktop,0.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
EZbKyG4SeogoEw72A,-2117356622_6120010244753895.0,6120010244753900.0,10,0,0,0,2,Rand,Random,Random,,,,3,1,1,Desktop,0.0,0.0,ITA,32.0,college,male,15000,0.16,0.04,1
Fd3t4autLYtZwKT8S,-2117356622_6120010244753895.0,6120010244753900.0,3,0,0,1,0,Less,Utilitarian,Utilitarian,More,Less,0.0,4,1,0,Desktop,1.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
HQogYqGKKvRm35zcP,-2117356622_6120010244753895.0,6120010244753900.0,4,0,0,0,1,More,Utilitarian,Utilitarian,More,Less,1.0,5,2,1,Desktop,0.0,0.0,ITA,32.0,college,male,15000,0.16,0.04,1
L6yJ35BoFBxShkhNo,-2117356622_6120010244753895.0,6120010244753900.0,9,0,0,0,2,Young,Age,Age,Young,Old,1.0,4,0,1,Desktop,0.0,0.0,ITA,32.0,college,male,15000,0.16,0.04,1
P77i9LHBFDJKzwQHh,-2117356622_6120010244753895.0,6120010244753900.0,13,0,1,0,2,Male,Gender,Gender,Male,Female,1.0,3,0,0,Desktop,0.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
Rsfuam4vcrFFjpFcN,-2117356622_6120010244753895.0,6120010244753900.0,7,0,0,1,0,High,Social Status,Social Status,High,Low,1.0,2,0,0,Desktop,0.0,0.0,ITA,32.0,college,male,15000,0.16,0.04,1
kWE8rYPzeDeuefh3L,-2117356622_6120010244753895.0,6120010244753900.0,11,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,0.0,5,0,0,Desktop,0.0,0.0,ITA,32.0,college,male,15000,0.16,0.04,1
rC8xMem9KSmiHGnan,-2117356622_6120010244753895.0,6120010244753900.0,6,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,3,0,0,Desktop,0.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
tf6hw2FeXDitXWy9q,-2117356622_6120010244753895.0,6120010244753900.0,8,0,1,0,0,Pets,Species,Species,Hoomans,Pets,0.0,1,0,0,Desktop,0.0,1.0,ITA,32.0,college,male,15000,0.16,0.04,1
4b2Mp6jrsbemcXDee,-2104316111_4566482105566081.0,4566482105566080.0,12,0,0,1,0,Rand,Random,Random,,,,5,4,1,Desktop,0.0,0.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
7PFytQbAsAzmMQE6b,-2104316111_4566482105566081.0,4566482105566080.0,13,0,0,0,1,Male,Gender,Gender,Male,Female,1.0,1,0,1,Desktop,0.0,0.0,BRA,32.0,graduate,male,80000,0.2,0.5,1
