,Center,Left,Left Center,Right,Right Center
is_save,-0.42650639835220194,-0.4518601970001521,-0.43454829756906915,-0.36837012606399994,-0.40780628831529164
is_save,-0.42163947184198286,-0.4597882205642617,-0.43452267640490794,-0.37346292543193577,-0.40868089561574317
is_save,-0.4250753298186392,-0.44656025872699506,-0.44997036577919175,-0.3670350245275012,-0.41137472350903337
is_save,-0.4243922150508753,-0.45236311007210783,-0.43895992894191505,-0.3702512597503538,-0.4040600998547407
is_save,-0.4262780641560917,-0.43856564403269016,-0.4380468621420828,-0.37035648406052996,-0.40636535768860416
is_save,-0.42531079809258937,-0.45054272735487155,-0.43637600259841314,-0.3701427659367891,-0.40735885523725457
is_save,-0.4281960444370496,-0.4630731073151605,-0.4314819658024913,-0.37696032371962374,-0.4039767063963822
is_save,-0.42327644021284067,-0.45097372726572305,-0.4335175137252743,-0.3681632042391299,-0.40984828154931147
is_save,-0.41877149065704244,-0.4416769689677094,-0.4356310900994026,-0.3727178396769965,-0.4144006266887437
is_save,-0.42603107274519636,-0.4638741862571899,-0.433887273750812,-0.3675837086784086,-0.39877023739504375
is_save,-0.4176025951196121,-0.4467332876466946,-0.4303186276962926,-0.37572293729138595,-0.40516924335817034
is_save,-0.42510334343153905,-0.4654659161976235,-0.4351271426536565,-0.3717879341589779,-0.40968862909578635
is_save,-0.42672945314470456,-0.44951577549784316,-0.4430269009445449,-0.36903847574660903,-0.407266495208748
is_save,-0.42312910549010646,-0.45390314267359744,-0.4402579548114342,-0.3745186449839455,-0.40770109307280794
is_save,-0.4255353028013239,-0.44902015350187474,-0.4395959250298715,-0.37405134810441004,-0.4048187491901786
is_save,-0.42124107251187515,-0.4695120331092267,-0.4357090328467932,-0.3785672137384453,-0.4094200554926369
is_save,-0.4280654978392523,-0.47773200866554827,-0.43881524661923044,-0.3650906038016009,-0.40375753341121495
is_save,-0.42080851438839406,-0.45631576491449105,-0.44596745330291954,-0.37568300693584755,-0.40308931599245046
is_save,-0.4223098942761672,-0.4512948294514789,-0.4400593017790534,-0.36743157572893503,-0.41049140318269484
is_save,-0.4265429504002228,-0.4723726526539439,-0.4523403151391428,-0.36624280940941534,-0.40285795273594477
is_save,-0.42333005847845895,-0.46394503704723233,-0.44389074361536984,-0.3790982501940698,-0.4116759392753583
is_save,-0.4258346321192541,-0.4649571850911331,-0.44329900681345175,-0.3714602329259273,-0.41242624220131796
is_save,-0.42220995812467815,-0.47138325573536405,-0.4427185899897388,-0.36948061174374347,-0.4131755303611105
is_save,-0.42793107078475967,-0.46310249636982653,-0.4330389042656073,-0.37938919732265264,-0.40925595352126937
is_save,-0.42419285963483394,-0.44787957522497857,-0.42875710480327117,-0.370928741319406,-0.4068591536318843
is_save,-0.42465387899441626,-0.4684980927890104,-0.43658078782959747,-0.36962949613664065,-0.4091853736495965
is_save,-0.4196989676103521,-0.480196353406837,-0.4289194766451011,-0.3644269674639817,-0.41049101893921075
is_save,-0.4251477157863155,-0.45480256489106047,-0.4409397631224908,-0.37443571066919684,-0.40762978009662026
is_save,-0.4218855573324639,-0.4694813936291106,-0.4432546695123967,-0.37230657831080777,-0.40798778077268644
is_save,-0.42399488472434543,-0.46316001810140206,-0.43817929753261436,-0.372670893349028,-0.4068046857138771
is_save,-0.4209901567879951,-0.46117202885060743,-0.4349374666836892,-0.3729146844977102,-0.4076536761230827
is_save,-0.42550092719736626,-0.45417386797616804,-0.4208393410802552,-0.371314531770114,-0.4108743430647935
is_save,-0.4240161555896401,-0.44549841511889,-0.4487795994453779,-0.37281786768682285,-0.40103215997178326
is_save,-0.42229130755001143,-0.4577006367876253,-0.43554187755276874,-0.3754294216374122,-0.40480955807085883
is_save,-0.42507315047977373,-0.4508369013546232,-0.4433788905813962,-0.3732919209339925,-0.40441499300779554
is_save,-0.42307597654772516,-0.46965438499937234,-0.4362128619730547,-0.3680934946545733,-0.40722456360099996
is_save,-0.42273261959906205,-0.4675155691593641,-0.43988168146424755,-0.37428986124226665,-0.4055438508889149
is_save,-0.4225431585124531,-0.4710234290492593,-0.43401353749822535,-0.37424513316029273,-0.40819948583555066
is_save,-0.42664250443347335,-0.4690855370061088,-0.4223648629697338,-0.37348926897978885,-0.4088504038049184
is_save,-0.4188433469899401,-0.46311808148863126,-0.43835345490326116,-0.3744968163240921,-0.4126876233649958
is_save,-0.4242969307013961,-0.46481019833610093,-0.4348040149642623,-0.36925836107144616,-0.40900461554256556
is_save,-0.4235174745806058,-0.4693310269499021,-0.4380205734531088,-0.3740451928707762,-0.4093012169531887
is_save,-0.4264027765274405,-0.4495812059643368,-0.43437156054182136,-0.371586337704604,-0.40723740515210155
is_save,-0.4205758767709993,-0.4519161214167005,-0.4408075209473637,-0.3733058843886145,-0.4036957285587031
is_save,-0.41992760460797623,-0.45975275934408566,-0.4427031602433373,-0.37310950582836344,-0.4019108229449878
is_save,-0.4262908963861706,-0.4549334567608663,-0.42600316552417944,-0.37266413251122654,-0.40567043918561657
is_save,-0.42097809916849077,-0.45762966725128373,-0.4366873979266937,-0.3794699752964814,-0.4150653686222438
is_save,-0.4229800272496106,-0.4463993846975929,-0.43798875138783355,-0.3703811539001794,-0.4008105021165884
is_save,-0.42373732266387987,-0.46002620162675667,-0.4276610617678645,-0.37017217853803186,-0.40695915408828787
is_save,-0.4247317108337012,-0.4461744998390711,-0.4396306846211584,-0.37530469184324006,-0.41323555212651414
is_save,-0.42007269911655715,-0.4785457353281553,-0.4320900864387014,-0.3784246812897559,-0.41054976716024394
is_save,-0.41590643491351964,-0.45463578866006205,-0.43211395248384327,-0.3695972144796433,-0.4097083063496098
is_save,-0.4188707499856506,-0.46406033615886366,-0.44076079840726434,-0.36906789921968575,-0.4120780984876322
is_save,-0.421882462890004,-0.4656427542152064,-0.43563932011312867,-0.3744730842422938,-0.4071487565477068
