ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat,Review_political,Review_gender,Review_political_cat
24Bw2eQRsd2GT7XXi,917792494_4297888796069853.0,4297888796069850,7,0,0,0,2,Male,Gender,Gender,Male,Female,1,3,0,0,Mobile,0,1,ESP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,female,5
23AAXRzS3S6bLZw43,110397579_9112476023046824.0,9112476023046820,4,0,0,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,2,1,Desktop,1,1,USA,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.5,female,3
23qbXfNiSmvZMcYka,-1777595452_8355287707803312.0,8355287707803310,2,0,1,0,0,Less,Utilitarian,Utilitarian,More,Less,0,4,1,0,Mobile,0,1,USA,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.06,female,1
242QcgN5z4WbQsTQy,-573420285_3972973055772895.0,3972973055772900,7,0,1,0,0,Old,Age,Age,Young,Old,0,2,0,0,Desktop,0,0,USA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,female,5
23R5pBDgLye6Q7neC,387443520_4806863094454088.0,4806863094454090,11,0,1,0,1,Male,Gender,Gender,Male,Female,1,1,0,1,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,female,
24adysgMdfL8vBcff,-1885006846_3200209560324738.0,3200209560324740,9,0,0,1,0,Male,Gender,Gender,Male,Female,1,2,0,1,Desktop,1,0,GBR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.56,female,3
22ZaNEAQhEmipzo4A,-620183858_3371092942130191.0,3371092942130190,8,0,0,1,0,Rand,Random,Random,,,,4,3,1,Mobile,0,1,MYS,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.75,female,4
23zPFB4kaBsXBLeav,1124893460_5348590829250168.0,5348590829250170,5,0,1,0,1,High,Social Status,Social Status,High,Low,1,1,0,1,Mobile,0,0,BRA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,female,3
24HdzeurvchsASTNx,-1835666447_7481001339211617.0,7481001339211620,1,0,0,1,0,More,Random,Utilitarian,More,Less,1,5,4,0,Desktop,1,1,AUS,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.85,female,5
23qcmaQBbjbTozbCT,-1394937534_3971609626183900.0,3971609626183900,13,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,0,2,0,0,Desktop,1,1,AUS,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,female,3
24QBYneDzKdHjYZru,225837136_6615054197437662.0,6615054197437660,11,0,0,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,1,0,Desktop,1,0,RUS,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.96,female,5
22Gbf3DSPvTtcvkoq,-1961277359_8749699943152369.0,8749699943152370,1,0,0,1,0,Rand,Random,Random,,,,3,2,0,Desktop,0,1,USA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.54,female,3
24aiyiFPmi2cQpiDM,-623464254_230491771362721.0,230491771362721,8,0,0,0,0,Female,Gender,Gender,Male,Female,0,3,0,1,Desktop,1,0,ESP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,female,3
237QGFP7EnQriDCBG,-672626565_1468203847916611.0,1468203847916610,2,0,0,0,2,Hoomans,Species,Species,Hoomans,Pets,1,2,0,1,Mobile,0,0,GBR,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.79,female,4
23uH6LNj4guC6A4yc,-1910150228_4463415868165270.0,4463415868165270,10,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0,3,2,0,Desktop,0,1,FRA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,female,5
22QK55Wk48RPwYfDM,1332440908_382455560843857.0,382455560843857,4,0,0,0,2,Rand,Social Status,Random,,,,1,0,0,Mobile,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,female,3
22PyXRGJJ7dFWFFBx,1808297548_4978088843585322.0,4978088843585320,1,0,1,0,2,More,Utilitarian,Utilitarian,More,Less,1,5,1,0,Desktop,0,1,FRA,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,female,3
24Gxv4uPcGDJfk9uG,886878045_8147709722312031.0,8147709722312030,11,0,0,0,2,Rand,Random,Random,,,,2,3,0,Mobile,0,1,AUS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.93,female,5
249XqDbg78v96QiTr,305262801_2543191084191195.0,2543191084191200,9,0,0,1,0,Female,Gender,Gender,Male,Female,0,5,0,1,Desktop,1,0,DEU,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0.5,female,3
22tMijaoodjH5einn,345581765_5084526560058336.0,5084526560058340,5,0,1,0,2,Pets,Species,Species,Hoomans,Pets,0,1,0,0,Mobile,0,0,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,female,3
24K2fzSca5A6Hbfun,-288534188_118938154018715.0,118938154018715,6,0,0,1,0,Rand,Random,Random,,,,4,2,1,Desktop,0,1,BRA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.42,female,3
22jfBFC7vZsXZAy5f,18895299_5502518366556615.0,5502518366556620,2,0,1,0,0,Old,Age,Age,Young,Old,0,5,0,0,Desktop,1,1,AUS,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,female,2
23yjt2QDvo3aPsDPk,1258772386_1087985533012805.0,1087985533012810,9,0,0,0,2,Fat,Fitness,Fitness,Fit,Fat,0,3,0,1,Mobile,0,0,ISR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,female,
22rSbCEBBo5FawaPp,-699895891_588595946426806.0,588595946426806,8,0,1,0,0,Young,Age,Age,Young,Old,1,2,0,0,Mobile,0,1,USA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,female,3
23vyKAwdct6ogkyJ3,470110836_8435794205383698.0,8435794205383700,8,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,0,4,0,0,Mobile,0,1,USA,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,female,3
22HAihKihA6wr7aQh,-90995523_429814019102041.0,429814019102041,12,0,1,0,0,Rand,Fitness,Random,,,,3,0,0,Desktop,1,1,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.5,female,3
23jdaMqZe8tomiD7x,-2141935752_7027627001894730.0,7027627001894730,11,0,1,0,1,Fit,Fitness,Fitness,Fit,Fat,1,1,0,1,Mobile,0,0,DEU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,female,4
24Ncc7zXYBuDnmiLQ,-380884365_9562097763582814.0,9562097763582810,2,0,1,0,0,Old,Age,Age,Young,Old,0,4,0,0,Desktop,1,1,BRA,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,female,3
22vNB9zR83frZTzto,413674899_187517611912448.0,187517611912448,4,0,0,0,2,More,Utilitarian,Utilitarian,More,Less,1,5,1,1,Mobile,0,0,BRA,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0.5,female,3
23upKg4PYNdyAmQKz,206965224_9517217678057088.0,9517217678057090,4,0,0,1,0,More,Utilitarian,Utilitarian,More,Less,1,5,1,1,Mobile,0,1,CHN,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,female,3
23Ezv5u73yYi6xz5Z,1189222431_7882895894709734.0,7882895894709730,13,0,0,1,0,Male,Gender,Gender,Male,Female,1,5,0,0,Desktop,1,1,USA,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5,female,3
22qEXojwsZguqfnnv,-710290092_3392991776380101.0,3392991776380100,1,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0,4,1,0,Desktop,1,1,DEU,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,female,3
24HiFC8CsZBmCeDL7,1579402492_3965506888926029.0,3965506888926030,4,0,0,0,0,Young,Age,Age,Young,Old,1,4,0,0,Desktop,0,1,CAN,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,female,5
22kjtsiRdKQvrLNG7,-1389347231_1399134198177021.0,1399134198177020,2,0,1,0,1,Rand,Social Status,Random,,,,2,0,1,Desktop,1,1,RUS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.0,female,5
22ZuSzhj64XeCqc2L,790110546_8307816310847345.0,8307816310847350,11,0,0,0,0,Female,Gender,Gender,Male,Female,0,3,0,1,Mobile,0,0,DEU,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,female,3
23yJicE8wuCXX77r3,-1633605648_7104808175862496.0,7104808175862500,3,0,1,0,2,Young,Age,Age,Young,Old,1,5,0,1,Desktop,1,0,NLD,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,female,3
22ccTwJYmQetSfbPJ,-2136204183_9285500315694448.0,9285500315694450,3,0,0,1,0,Young,Age,Age,Young,Old,1,2,0,0,Mobile,0,0,PSE,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,female,3
22QXvm9opbgmZ7PJa,57954329_1825925098282765.0,1825925098282760,13,0,1,0,2,Female,Gender,Gender,Male,Female,0,3,0,0,Desktop,0,0,BRA,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,female,3
22joMfShmcwDJWaFL,1807973092_4595637898550424.0,4595637898550420,1,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,0,4,0,1,Desktop,1,1,IND,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.7,female,4
22WuXDpW6oqYgbovF,-127548431_7616190582169534.0,7616190582169530,2,0,0,0,0,Hoomans,Species,Species,Hoomans,Pets,1,1,0,1,Desktop,1,0,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,female,3
22eRfqTG45oWfQ6iW,541024876_6063199792988598.0,6063199792988600,6,0,0,1,0,Rand,Random,Random,,,,5,4,0,Desktop,1,0,USA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.5,female,3
229rPuQgN2P9q42Wu,831113591_7488280163086256.0,7488280163086260,4,0,0,0,2,Female,Gender,Gender,Male,Female,0,1,0,0,Desktop,1,1,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,female,3
247xj3uATaEegErTP,1775679576_3429047479388234.0,3429047479388230,3,0,1,0,1,Fit,Fitness,Fitness,Fit,Fat,1,5,0,1,Desktop,1,0,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1.0,female,5
23QicgrGqkBZvHcx6,1342679410_2045309983458147.0,2045309983458150,13,0,0,1,0,Young,Age,Age,Young,Old,1,1,0,1,Mobile,0,0,POL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,female,4
22yFCAiZjLTJ8CCBM,470378969_7362280941741415.0,7362280941741420,9,0,0,0,0,Less,Utilitarian,Utilitarian,More,Less,0,1,4,0,Mobile,0,0,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.78,female,4
22uc6rfDF3bTpaBmb,566869807_3807266847075166.0,3807266847075170,12,0,0,0,0,Hoomans,Species,Species,Hoomans,Pets,1,1,0,0,Desktop,1,1,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,female,3
22xQgmyaKmoamnetx,2030228475_7846088644582778.0,7846088644582780,12,0,0,0,1,Low,Social Status,Social Status,High,Low,0,5,0,0,Desktop,1,1,AUT,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.86,female,5
22xoZ2FLqeZJ38pGK,683837532_6062961391755686.0,6062961391755690,4,0,0,1,0,Female,Gender,Gender,Male,Female,0,4,0,1,Desktop,0,0,BRA,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,female,3
22d6yTYNcD6EnQMZe,-758206092_4279040379544201.0,4279040379544200,4,0,0,1,0,High,Social Status,Social Status,High,Low,1,1,0,1,Desktop,0,1,CZE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,female,4
22BBGcQETqwRspAgo,-155997722_2818065852028182.0,2818065852028180,6,0,0,0,2,Rand,Random,Random,,,,5,2,0,Mobile,0,0,USA,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0.5,female,3
24dLu4yPKBS7zHKy3,-161286095_8766350350680350.0,8766350350680350,9,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0,3,0,1,Desktop,0,0,UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,female,5
