ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat,Review_political,Review_gender,Review_political_cat
24ZrJ9eftcpGwtfp4,-1358234811_7469354446512375.0,7469354446512380,11,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0,4,1,0,Desktop,0,1,NLD,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.88,male,5
23uJu8uujTtbQoSBs,-86986939_8140359993350267.0,8140359993350270,6,0,1,0,0,Pets,Species,Species,Hoomans,Pets,0,5,0,0,Desktop,1,0,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.16,male,1
24A7eKPnHCP2Rvy7u,756541967_7086380238217291.0,7086380238217290,10,0,0,0,0,Pets,Species,Species,Hoomans,Pets,0,2,0,0,Mobile,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.86,male,5
23bnb4GX8kfJPHJsY,-636286358_422499950102412.0,422499950102412,9,0,1,0,0,Female,Gender,Gender,Male,Female,0,3,0,1,Desktop,0,1,BRA,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,male,5
22428KnNzM6FZ4A8D,1319846616_1830055308528244.0,1830055308528240,12,0,0,0,0,Young,Age,Age,Young,Old,1,5,0,1,Desktop,1,0,USA,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,male,5
24Qu47YBjXJhGLZGC,-227675245_6219464882518195.0,6219464882518200,12,0,0,0,0,Female,Gender,Gender,Male,Female,0,3,0,1,Mobile,0,0,CHL,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.5,male,3
23aoESmTEEKBD4h8p,-441712257_4179213138193711.0,4179213138193710,1,0,0,1,0,Rand,Random,Random,,,,3,2,0,Mobile,0,1,DEU,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,male,3
22yKsXWqMFMEMnsti,-1455246064_3384386184202730.0,3384386184202730,11,0,1,0,0,Old,Age,Age,Young,Old,0,1,0,0,Mobile,0,1,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,male,5
243TgTwvZwDTshu9p,1987014867_8148664832164241.0,8148664832164240,3,0,1,0,2,Fit,Fitness,Fitness,Fit,Fat,1,4,0,0,Desktop,1,0,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.76,male,4
22kuJQj3n4msyWipS,-2024176984_8794176155707301.0,8794176155707300,12,0,1,0,2,Male,Gender,Gender,Male,Female,1,2,0,0,Desktop,0,0,USA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,male,5
23vSZbLHsBouCXXHy,-13767553_7874275625900415.0,7874275625900420,8,0,0,1,0,Old,Age,Age,Young,Old,0,1,0,0,Desktop,1,1,BRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,male,2
24KvodgE6FfT5bJdd,515326554_9527121135865058.0,9527121135865060,8,0,1,0,0,Old,Age,Age,Young,Old,0,5,0,0,Mobile,0,0,BRA,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,male,1
24XJuQXPcZioitiqm,1750822198_2056785164836727.0,2056785164836730,9,0,0,1,0,Rand,Random,Random,,,,5,2,0,Desktop,1,1,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1.0,male,5
22Xj9s7gsP4TeTKsS,1167039715_4652250272445448.0,4652250272445450,11,0,1,0,0,Old,Age,Age,Young,Old,0,5,0,0,Desktop,0,1,USA,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,male,4
23GRzHKfgZviQdaCz,1178076815_4987814909551305.0,4987814909551310,6,0,1,0,2,Fit,Fitness,Fitness,Fit,Fat,1,3,0,0,Mobile,0,0,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,male,3
23PmvonRidBHfc6Pn,-1756038428_17362663508271.0,17362663508271,12,0,0,1,0,Rand,Random,Random,,,,4,2,1,Mobile,0,0,FRA,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,male,5
229NrqGe5LRj9smuT,527389332_6119970652161912.0,6119970652161910,4,0,0,1,0,High,Social Status,Social Status,High,Low,1,4,0,0,Mobile,0,0,BRA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,male,
222eXyoNew3yhozFZ,-2143395746_5897031988670582.0,5897031988670580,9,0,1,0,0,Female,Gender,Gender,Male,Female,0,3,0,1,Desktop,1,1,GBR,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,male,5
24WSFbEG5XPmwfgn8,1323595081_2508258060907912.0,2508258060907910,4,0,0,1,0,Old,Age,Age,Young,Old,0,2,0,0,Desktop,0,0,USA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,male,5
24f9fGeGXiTsirT8S,396456855_6176607091431504.0,6176607091431510,6,0,0,0,0,Hoomans,Species,Species,Hoomans,Pets,1,2,0,1,Desktop,0,0,FRA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.72,male,4
244QbnMWFCmqPTnM8,1120083666_900476959334706.0,900476959334706,10,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0,3,2,0,Mobile,0,1,CHE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.5,male,3
