ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat,Review_political,Review_gender,Review_political_cat
23SqQn2j8Wi324Zce,216016154_1622676268651572.0,1622676268651570,8,0,1,0,1,Fit,Fitness,Fitness,Fit,Fat,1,3,0,1,Desktop,1,1,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,female,3
24YTuW86yMum82pk3,446390052_702012303965773.0,702012303965773,9,0,1,0,0,Low,Social Status,Social Status,High,Low,0,1,0,0,Desktop,0,1,GBR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19,male,1
2438v4PaM4F35NXb5,-1168052182_8569026880582720.0,8569026880582720,6,0,0,1,0,Fat,Fitness,Fitness,Fit,Fat,0,4,0,0,Desktop,1,1,AUS,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.0,male,5
23rb8DuMLgXnRMau8,-424974447_7132307413591439.0,7132307413591440,13,0,0,0,2,Hoomans,Species,Species,Hoomans,Pets,1,1,0,0,Desktop,0,0,BRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,female,3
23S2yTP6R7x9pN2hG,-1877971280_8237022590148919.0,8237022590148920,10,0,0,1,0,High,Social Status,Social Status,High,Low,1,1,0,1,Mobile,0,1,AUT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,male,5
246J2LARzSZj4B78F,-1672284039_3935007028611565.0,3935007028611570,7,0,1,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,1,1,Mobile,0,1,SWE,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,male,3
23R5pBDgLye6Q7neC,387443520_4806863094454088.0,4806863094454090,11,0,1,0,1,Male,Gender,Gender,Male,Female,1,1,0,1,Desktop,0,1,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,female,
22dDqp8szGDbzZ4gW,870645382_275935190160671.0,275935190160671,8,0,1,0,1,Hoomans,Species,Species,Hoomans,Pets,1,5,0,1,Mobile,0,0,USA,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.6,female,3
22Ttg5mXL8Kvq4yeX,-1622378591_6503184954770724.0,6503184954770730,6,0,1,0,1,Young,Age,Age,Young,Old,1,5,0,0,Desktop,0,0,USA,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.92,male,5
22PuP3mo7zogGuy8s,-52955889_6505269458370184.0,6505269458370190,7,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0,4,0,0,Mobile,0,1,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,female,3
