"Source","Target","weight"
"{left,low}","{save}",0
"{right,low}","{save}",0
"{left,high}","{save}",0
"{right,high}","{save}",0
"{right,fit}","{save}",0
"{left,fat}","{save}",0
"{left,fit}","{save}",0
"{right,fat}","{save}",0
"{left,young}","{save}",0
"{left,old}","{save}",0
"{right,old}","{save}",0
"{right,young}","{save}",0
"{right,pets}","{save}",0
"{right,female}","{save}",0
"{right,hoomans}","{save}",0
"{left,male}","{save}",0
"{left,female}","{save}",0
"{left,pets}","{save}",0
"{left,hoomans}","{save}",0
"{right,male}","{save}",0
"{right,more}","{save}",0
"{left,less}","{save}",0
"{left,more}","{save}",0
"{right,less}","{save}",0
"{center,low}","{save}",0
"{center,high}","{save}",0
"{center,fat}","{save}",0
"{center,fit}","{save}",0
"{center,young}","{save}",0
"{center,old}","{save}",0
"{center,male}","{save}",0
"{center,female}","{save}",0
"{center,pets}","{save}",0
"{center,hoomans}","{save}",0
"{center,less}","{save}",0
"{center,more}","{save}",0
"{left}","{save}",0
"{right}","{save}",0
